Function Name,Calls,Total Time (s),Submodule
<cell line: 0>,2,14.307913,/tmp/ipykernel_6727/2405362220.py
Enhanced_RAG_v6.invoke,1,14.307105,/tmp/ipykernel_6727/845915262.py
Enhanced_RAG_v6.use_rag,1,12.699021,/tmp/ipykernel_6727/845915262.py
Pipeline_Guardrail.test,2,1.1097869999999999,/tmp/ipykernel_6727/2541832247.py
<lambda>,1,0.954164,/tmp/ipykernel_6727/845915262.py
Pipeline_Guardrail.test_input_logic,1,0.7525189999999999,/tmp/ipykernel_6727/1570466754.py
Enhanced_RAG_v6.search_cache,1,0.49424799999999997,/tmp/ipykernel_6727/845915262.py
Redis_Cache_Manager.search_prompt,1,0.494233,/tmp/ipykernel_6727/2035408845.py
Transformer_Guardrail.test_input_logic,1,0.357213,/tmp/ipykernel_6727/1741514394.py
Kernel.schedule_dispatch,1,9.999999999999999e-05,/usr/local/lib/python3.12/dist-packages/ipykernel/kernelbase.py
Enhanced_RAG_v6.verify_input_types,1,3.9999999999999996e-05,/tmp/ipykernel_6727/845915262.py
Enhanced_RAG_v6.format_docs,1,2.4e-05,/tmp/ipykernel_6727/845915262.py
<genexpr>,5,7e-06,/tmp/ipykernel_6727/845915262.py
<lambda>,2,1e-06,/usr/local/lib/python3.12/dist-packages/ipykernel/kernelbase.py
<lambda>,1,1e-06,/tmp/ipykernel_6727/845915262.py
<lambda>,1,1e-06,/tmp/ipykernel_6727/845915262.py
